
163	2013	131	STL	ANA	0	-1	8	5	-2	2	-2	-3	2	18835
164	2013	131	MIN	NSH	1	1	6	7	0	2	4	8	1	18806
165	2013	131	VAN	CGY	1	4	-3	8	-4	3	-6	2	1	18910
166	2013	132	DET	LA	1	1	-16	-9	4	7	-2	-1	1	20066
167	2013	132	CBJ	EDM	0	-2	26	0	0	3	-4	-13	0	14364
168	2013	132	BUF	BOS	0	-2	-13	2	8	0	-4	10	-1	18869
169	2013	132	NYR	TB	1	4	12	0	3	0	-2	10	0	17200
170	2013	132	PIT	NJ	0	-2	1	9	2	1	-4	6	0	18658
171	2013	132	NSH	CHI	0	-3	-10	10	-6	-2	2	7	0	17113
172	2013	133	TOR	PHI	1	3	-22	-9	3	4	9	-1	0	19253
173	2013	133	NYI	CAR	0	-2	-3	0	0	18	-6	1	4	9622
174	2013	133	CBJ	SJ	1	4	9	7	4	-4	-2	2	1	10837
175	2013	133	STL	LA	0	-3	-1	-1	2	4	0	-1	0	14498
176	2013	133	COL	PHO	0	-1	13	-7	-2	3	-8	10	0	14063
177	2013	133	CGY	MIN	0	-1	0	0	6	6	4	10	0	19289
178	2013	134	NJ	CAR	0	-2	3	2	-2	-4	2	1	-1	17625
179	2013	134	BOS	NYR	0	-1	11	3	0	5	2	1	0	17565
181	2013	134	TB	MTL	0	-1	-10	2	-1	8	2	2	0	19204
182	2013	134	FLA	WSH	0	-1	3	-6	1	2	-4	-7	-2	15340
183	2013	134	WPG	PHI	0	-1	3	8	1	5	12	-7	-1	15004
184	2013	134	NSH	SJ	1	1	0	9	5	5	6	5	0	17113
185	2013	134	CHI	ANA	0	-1	-1	5	21	12	-10	-7	0	21188
186	2013	134	EDM	DAL	0	-3	7	-3	2	5	-2	1	0	16839
187	2013	134	VAN	MIN	1	1	4	-11	5	4	6	12	0	18910
188	2013	135	PIT	OTT	1	2	1	0	0	2	-2	7	1	18637
189	2013	135	DET	STL	0	-1	-7	6	-2	6	-2	-15	-1	20066
190	2013	135	CGY	DAL	1	3	-11	-1	1	-2	4	0	0	19289
191	2013	136	NYR	NYI	0	-1	8	9	6	-1	-6	-4	1	17200
192	2013	136	CAR	TOR	1	2	10	9	4	2	-2	-9	0	18680
193	2013	136	TB	WSH	0	-1	-9	-2	1	4	-2	8	-1	19204
194	2013	136	FLA	MTL	0	-1	-6	1	0	-2	2	2	0	17021
195	2013	136	NSH	PHO	1	3	10	-11	1	4	4	5	1	17113
196	2013	136	MIN	COL	0	-1	-3	6	3	5	2	-2	-1	18822
197	2013	137	BUF	BOS	1	2	-6	-12	7	4	0	9	-1	19070
198	2013	137	NJ	PHI	1	2	-9	-6	-1	6	0	-1	-1	17625
199	2013	137	WPG	PIT	0	-2	-2	-3	6	-2	2	10	-1	15004
200	2013	137	DET	ANA	0	-3	-9	8	0	6	-2	4	1	20066
201	2013	137	CHI	SJ	1	3	9	-1	5	6	-2	-6	1	21824
202	2013	137	CGY	STL	0	-3	7	4	-3	7	2	-4	-1	19289
203	2013	137	VAN	DAL	0	-1	-1	3	-3	-2	2	8	0	18910
204	2013	137	LA	CBJ	1	1	9	1	4	5	-2	-8	1	18118
205	2013	138	TOR	OTT	1	3	-5	-3	4	1	4	7	0	19537
207	2013	138	NYI	NJ	1	4	2	14	13	8	-12	8	2	15488
208	2013	138	FLA	TB	0	-1	-6	-8	2	1	2	-14	-1	17009
209	2013	138	NSH	ANA	0	-1	12	5	1	0	-4	-5	0	17322
210	2013	138	PHO	CBJ	1	2	15	0	8	2	-10	-1	1	15425
211	2013	138	EDM	COL	1	2	27	2	5	3	0	1	1	16839
212	2013	139	BUF	PIT	0	-1	-2	3	4	1	10	11	0	19070
213	2013	139	CHI	LA	1	1	10	-1	11	-1	0	-11	-1	21843
214	2013	139	WPG	BOS	0	-1	-2	2	-2	11	-2	4	-1	15004
215	2013	139	DAL	CGY	0	-1	4	2	-3	1	4	-3	-1	17340
216	2013	139	MIN	DET	1	1	-7	10	3	7	2	9	0	19117
217	2013	139	NYR	WSH	1	1	12	-6	-2	6	0	12	1	17200
218	2013	139	VAN	STL	0	-1	8	-5	-1	5	-2	-2	2	18910
219	2013	140	NJ	OTT	0	-1	1	-12	4	10	-12	-8	0	17625
220	2013	140	NYI	PHI	0	-7	-6	1	7	3	-2	-12	-2	16170
221	2013	140	COL	NSH	1	1	-10	8	-2	4	6	9	0	15099
223	2013	140	FLA	TOR	0	-3	4	4	1	0	-2	-10	-1	17177
224	2013	140	PHO	CGY	1	4	7	12	-1	1	0	-17	0	17208
225	2013	140	ANA	CBJ	1	1	2	2	4	3	0	2	2	14713
226	2013	141	BUF	WPG	0	-1	2	-1	1	7	-4	0	0	19070
227	2013	141	NYR	MTL	0	-2	7	1	2	2	-2	16	0	17200
229	2013	141	TB	TOR	1	2	-6	-2	5	1	-24	4	1	19204
230	2013	141	STL	SJ	0	-1	1	2	5	7	2	-8	0	16100
231	2013	141	NSH	DET	1	1	-4	-4	7	1	-8	-3	1	17113
232	2013	141	CHI	VAN	1	1	11	1	12	4	6	-14	0	21423
233	2013	141	EDM	LA	0	-2	-14	-11	4	10	-6	-1	1	16839
234	2013	142	PIT	PHI	0	-1	0	16	1	2	-2	-5	1	18650
235	2013	142	COL	STL	1	1	-13	-6	4	9	2	3	0	14651
236	2013	142	CGY	LA	0	-2	-6	-13	-1	2	-6	3	0	19289
237	2013	143	TOR	BUF	1	2	4	-3	3	4	-6	-5	2	19473
238	2013	143	PHI	FLA	0	-3	8	-3	1	5	2	8	-1	19605
239	2013	143	WSH	NJ	0	-1	-18	3	3	8	16	21	1	18506
240	2013	143	CAR	WPG	0	-1	7	12	0	0	12	5	0	18282
243	2013	143	TB	BOS	0	-2	0	-3	3	5	-4	5	0	19204
244	2013	143	DET	CBJ	0	-1	6	4	-1	5	8	-4	-1	20066
245	2013	143	DAL	VAN	0	-1	3	-6	3	1	0	4	-1	17393
246	2013	143	EDM	MIN	0	-2	0	0	-4	8	17	15	0	16839
247	2013	144	PIT	FLA	1	2	17	-4	2	10	-4	9	1	18655
248	2013	144	NSH	VAN	0	-1	-1	0	-1	6	0	4	0	17113
249	2013	144	CHI	SJ	1	1	7	1	7	1	-6	2	0	21670
250	2013	145	WSH	NJ	1	4	4	12	4	4	0	-3	2	18506
251	2013	145	PHI	WPG	1	2	2	-9	3	5	-4	7	3	19933
252	2013	145	EDM	PHO	1	1	7	-2	5	8	6	13	0	16839
253	2013	145	LA	COL	1	3	2	2	1	-4	4	9	-1	18118
254	2013	145	BUF	NYI	0	-4	3	-3	1	7	-4	8	-1	19070
257	2013	145	CAR	TB	0	-3	-5	9	-1	-3	0	10	0	18680
258	2013	145	DET	NSH	1	4	-6	1	-2	-1	0	2	1	20066
259	2013	145	STL	CBJ	1	1	3	1	-3	-3	2	10	0	19457
260	2013	145	DAL	SJ	1	2	-4	3	-1	4	0	21	1	18584
261	2013	145	CGY	MIN	1	2	-4	-10	5	5	0	2	0	19289
262	2013	146	FLA	BOS	0	-3	3	-5	-4	5	-16	-4	-1	18108
263	2013	146	NJ	WPG	0	-2	-1	8	8	4	0	-4	-1	17625
264	2013	146	DET	VAN	1	5	7	0	0	-8	-6	3	3	20066
265	2013	146	NYI	CAR	0	-2	-3	2	2	3	0	2	-1	10048
266	2013	146	CHI	CBJ	1	1	-1	2	9	-2	4	-17	0	21580
267	2013	146	PIT	TB	1	2	-8	-1	-2	0	0	9	0	18632
268	2013	146	CGY	PHO	1	1	4	-2	0	7	4	-1	-1	19289
269	2013	146	ANA	COL	1	1	16	9	2	4	-10	2	2	17174
270	2013	147	PHI	TOR	0	-2	3	-2	-2	-2	-6	15	1	19645
272	2013	147	NSH	DAL	1	1	7	3	3	1	2	13	-1	17113
273	2013	147	CHI	EDM	1	1	15	-5	6	0	4	-13	0	21127
274	2013	147	LA	ANA	1	3	-1	12	2	3	2	-7	0	18118
275	2013	148	NYR	WPG	0	-1	1	9	4	-3	2	6	0	17200
